date,source,GWh,TWh,total_GWh,share
2013-02-01,Hydro,20418.46514,20.41846514,300239.96205,0.06800715334689406
2013-02-01,Nuclear,61483.385,61.483385000000006,300239.96205,0.20478081791710648
2013-02-01,Solar,432.64262,0.43264262000000003,300239.96205,0.0014409894573859244
2013-02-01,Wind,14075.59068,14.07559068,300239.96205,0.04688113662116685
2013-03-01,Coal,130633.56036,130.63356036,315215.61895,0.41442603889727087
2013-03-01,Gas,84725.25919,84.72525919,315215.61895,0.26878509216080204
2013-03-01,Hydro,20534.35802,20.53435802,315215.61895,0.06514384689566158
2013-03-01,Nuclear,62947.389,62.947389,315215.61895,0.19969628792406008
2013-03-01,Solar,619.39901,0.61939901,315215.61895,0.001965001011254617
2013-03-01,Wind,15755.65337,15.75565337,315215.61895,0.04998373311095091
2013-04-01,Coal,111834.68254,111.83468253999999,289878.11418,0.38579898608887797
2013-04-01,Gas,78036.43182,78.03643182,289878.11418,0.26920428967446375
2013-04-01,Hydro,25097.10474,25.09710474,289878.11418,0.08657812891805947
2013-04-01,Nuclear,56766.882,56.766881999999995,289878.11418,0.19583017559149213
2013-04-01,Solar,666.73879,0.66673879,289878.11418,0.0023000659842363543
2013-04-01,Wind,17476.27429,17.476274290000003,289878.11418,0.06028835374287035
2013-05-01,Coal,119512.5,119.5125,311617.74959,0.38352276196476076
2013-05-01,Gas,83815.59186,83.81559186,311617.74959,0.26896924828665053
2013-05-01,Hydro,28450.09411,28.45009411,311617.74959,0.09129805393765984
2013-05-01,Nuclear,62848.155,62.848155,311617.74959,0.20168348909101047
2013-05-01,Solar,752.70649,0.75270649,311617.74959,0.0024154801547419773
2013-05-01,Wind,16238.70213,16.23870213,311617.74959,0.052110966565176386
2013-06-01,Coal,138283.21603,138.28321603,346330.82768,0.3992807020857232
2013-06-01,Gas,99615.06431,99.61506431000001,346330.82768,0.28762979310072145
2013-06-01,Hydro,27384.06656,27.38406656,346330.82768,0.07906909917156468
2013-06-01,Nuclear,66429.69,66.42969000000001,346330.82768,0.19180992476182104
2013-06-01,Solar,870.68502,0.87068502,346330.82768,0.002514026908411655
